iteration,learning_rate
50,1.02e-05
300,6.02e-05
550,0.0001
800,0.0001
1050,0.0001
1300,0.0001
1550,0.0001
1800,9.9999e-05
2050,9.9999e-05
2300,9.9999e-05
2550,9.9999e-05
2800,9.9998e-05
3050,9.9998e-05
3300,9.9997e-05
3550,9.9997e-05
3800,9.9996e-05
4050,9.9996e-05
4300,9.9995e-05
4550,9.9994e-05
4800,9.9994e-05
5050,9.9993e-05
5300,9.9992e-05
5550,9.9991e-05
5850,9.999e-05
6100,9.9989e-05
6350,9.9988e-05
6600,9.9987e-05
6850,9.9986e-05
7100,9.9985e-05
7350,9.9984e-05
7600,9.9983e-05
7850,9.9982e-05
8100,9.998e-05
8350,9.9979e-05
8600,9.9978e-05
8850,9.9976e-05
9100,9.9975e-05
9350,9.9973e-05
9600,9.9972e-05
9850,9.997e-05
10100,9.9968e-05
10350,9.9967e-05
10600,9.9965e-05
10850,9.9963e-05
11100,9.9962e-05
11350,9.996e-05
11650,9.9957e-05
11900,9.9956e-05
12150,9.9954e-05
12400,9.9952e-05
12650,9.995e-05
12900,9.9947e-05
13150,9.9945e-05
13400,9.9943e-05
13650,9.9941e-05
13900,9.9939e-05
14150,9.9936e-05
14400,9.9934e-05
14650,9.9932e-05
14900,9.9929e-05
15150,9.9927e-05
15400,9.9924e-05
15650,9.9922e-05
15900,9.9919e-05
16150,9.9916e-05
16400,9.9914e-05
16650,9.9911e-05
16900,9.9908e-05
17150,9.9905e-05
17450,9.9902e-05
17700,9.9899e-05
17950,9.9896e-05
18200,9.9893e-05
18450,9.989e-05
18700,9.9887e-05
18950,9.9884e-05
19200,9.988e-05
19450,9.9877e-05
19700,9.9874e-05
19950,9.9871e-05
20200,9.9867e-05
20450,9.9864e-05
20700,9.9861e-05
20950,9.9857e-05
21200,9.9854e-05
21450,9.985e-05
21700,9.9846e-05
21950,9.9843e-05
22200,9.9839e-05
22450,9.9835e-05
22700,9.9832e-05
23000,9.9827e-05
23250,9.9823e-05
23500,9.9819e-05
23750,9.9815e-05
24000,9.9811e-05
24250,9.9807e-05
24500,9.9803e-05
24750,9.9799e-05
25000,9.9795e-05
25250,9.9791e-05
25500,9.9786e-05
25750,9.9782e-05
26000,9.9778e-05
26250,9.9773e-05
26500,9.9769e-05
26750,9.9765e-05
27000,9.976e-05
27250,9.9756e-05
27500,9.9751e-05
27750,9.9746e-05
28000,9.9742e-05
28250,9.9737e-05
28500,9.9732e-05
28800,9.9726e-05
29050,9.9722e-05
29300,9.9717e-05
29550,9.9712e-05
29800,9.9707e-05
30050,9.9702e-05
30300,9.9697e-05
30550,9.9692e-05
30800,9.9686e-05
31050,9.9681e-05
31300,9.9676e-05
31550,9.9671e-05
31800,9.9665e-05
32050,9.966e-05
32300,9.9655e-05
32550,9.9649e-05
32800,9.9644e-05
33050,9.9638e-05
33300,9.9633e-05
33550,9.9627e-05
33800,9.9621e-05
34050,9.9616e-05
34300,9.961e-05
34600,9.9603e-05
34850,9.9597e-05
35100,9.9591e-05
35350,9.9585e-05
35600,9.9579e-05
35850,9.9573e-05
36100,9.9567e-05
36350,9.9561e-05
36600,9.9555e-05
36850,9.9549e-05
37100,9.9543e-05
37350,9.9536e-05
37600,9.953e-05
37850,9.9524e-05
38100,9.9517e-05
38350,9.9511e-05
38600,9.9504e-05
38850,9.9498e-05
39100,9.9491e-05
39350,9.9485e-05
39600,9.9478e-05
39850,9.9472e-05
40150,9.9463e-05
40400,9.9457e-05
40650,9.945e-05
40900,9.9443e-05
41150,9.9436e-05
41400,9.9429e-05
41650,9.9422e-05
41900,9.9415e-05
42150,9.9408e-05
42400,9.9401e-05
42650,9.9394e-05
42900,9.9387e-05
43150,9.9379e-05
43400,9.9372e-05
43650,9.9365e-05
43900,9.9357e-05
44150,9.935e-05
44400,9.9343e-05
44650,9.9335e-05
44900,9.9327e-05
45150,9.932e-05
45400,9.9312e-05
45650,9.9305e-05
45950,9.9295e-05
46200,9.9288e-05
46450,9.928e-05
46700,9.9272e-05
46950,9.9264e-05
47200,9.9256e-05
47450,9.9248e-05
47700,9.924e-05
47950,9.9232e-05
48200,9.9224e-05
48450,9.9216e-05
48700,9.9208e-05
48950,9.92e-05
49200,9.9191e-05
49450,9.9183e-05
49700,9.9175e-05
49950,9.9166e-05
50200,9.9158e-05
50450,9.9149e-05
50700,9.9141e-05
50950,9.9132e-05
51200,9.9124e-05
51450,9.9115e-05
51750,9.9105e-05
52000,9.9096e-05
52250,9.9087e-05
52500,9.9078e-05
52750,9.9069e-05
53000,9.9061e-05
53250,9.9052e-05
53500,9.9043e-05
53750,9.9034e-05
54000,9.9025e-05
54250,9.9015e-05
54500,9.9006e-05
54750,9.8997e-05
55000,9.8988e-05
55250,9.8979e-05
55500,9.8969e-05
55750,9.896e-05
56000,9.8951e-05
56250,9.8941e-05
56500,9.8932e-05
56750,9.8922e-05
57000,9.8912e-05
57250,9.8903e-05
57550,9.8891e-05
57800,9.8882e-05
58050,9.8872e-05
58300,9.8862e-05
58550,9.8852e-05
58800,9.8842e-05
59050,9.8832e-05
59300,9.8823e-05
59550,9.8813e-05
59800,9.8802e-05
60050,9.8792e-05
60300,9.8782e-05
60550,9.8772e-05
60800,9.8762e-05
61050,9.8752e-05
61300,9.8741e-05
61550,9.8731e-05
61800,9.8721e-05
62050,9.871e-05
62300,9.87e-05
62550,9.8689e-05
62800,9.8679e-05
63100,9.8666e-05
63350,9.8655e-05
63600,9.8645e-05
63850,9.8634e-05
64100,9.8623e-05
64350,9.8613e-05
64600,9.8602e-05
64850,9.8591e-05
65100,9.858e-05
65350,9.8569e-05
65600,9.8558e-05
65850,9.8547e-05
66100,9.8536e-05
66350,9.8525e-05
66600,9.8514e-05
66850,9.8502e-05
67100,9.8491e-05
67350,9.848e-05
67600,9.8468e-05
67850,9.8457e-05
68100,9.8446e-05
68350,9.8434e-05
68600,9.8423e-05
68900,9.8409e-05
69150,9.8397e-05
69400,9.8386e-05
69650,9.8374e-05
69900,9.8362e-05
70150,9.8351e-05
70400,9.8339e-05
70650,9.8327e-05
70900,9.8315e-05
71150,9.8303e-05
71400,9.8291e-05
71650,9.8279e-05
71900,9.8267e-05
72150,9.8255e-05
72400,9.8243e-05
72650,9.8231e-05
72900,9.8218e-05
73150,9.8206e-05
73400,9.8194e-05
73650,9.8182e-05
73900,9.8169e-05
74150,9.8157e-05
74400,9.8144e-05
74700,9.8129e-05
74950,9.8117e-05
75200,9.8104e-05
75450,9.8092e-05
75700,9.8079e-05
75950,9.8066e-05
76200,9.8053e-05
76450,9.8041e-05
76700,9.8028e-05
76950,9.8015e-05
77200,9.8002e-05
77450,9.7989e-05
77700,9.7976e-05
77950,9.7963e-05
78200,9.795e-05
78450,9.7937e-05
78700,9.7924e-05
78950,9.791e-05
79200,9.7897e-05
79450,9.7884e-05
79700,9.7871e-05
79950,9.7857e-05
80250,9.7841e-05
80500,9.7828e-05
80750,9.7814e-05
81000,9.7801e-05
81250,9.7787e-05
81500,9.7773e-05
81750,9.776e-05
82000,9.7746e-05
82250,9.7732e-05
82500,9.7719e-05
82750,9.7705e-05
83000,9.7691e-05
83250,9.7677e-05
83500,9.7663e-05
83750,9.7649e-05
84000,9.7635e-05
84250,9.7621e-05
84500,9.7607e-05
84750,9.7593e-05
85000,9.7578e-05
85250,9.7564e-05
85500,9.755e-05
85750,9.7536e-05
86050,9.7518e-05
86300,9.7504e-05
86550,9.749e-05
86800,9.7475e-05
87050,9.7461e-05
87300,9.7446e-05
87550,9.7431e-05
87800,9.7417e-05
88050,9.7402e-05
88300,9.7387e-05
88550,9.7373e-05
88800,9.7358e-05
89050,9.7343e-05
89300,9.7328e-05
89550,9.7313e-05
89800,9.7298e-05
90050,9.7283e-05
90300,9.7268e-05
90550,9.7253e-05
90800,9.7238e-05
91050,9.7223e-05
91300,9.7207e-05
91550,9.7192e-05
91850,9.7174e-05
92100,9.7159e-05
92350,9.7143e-05
92600,9.7128e-05
92850,9.7112e-05
93100,9.7097e-05
93350,9.7081e-05
93600,9.7066e-05
93850,9.705e-05
94100,9.7034e-05
94350,9.7019e-05
94600,9.7003e-05
94850,9.6987e-05
95100,9.6971e-05
95350,9.6955e-05
95600,9.6939e-05
95850,9.6924e-05
96100,9.6908e-05
96350,9.6892e-05
96600,9.6875e-05
96850,9.6859e-05
97100,9.6843e-05
97400,9.6824e-05
97650,9.6808e-05
97900,9.6791e-05
98150,9.6775e-05
98400,9.6759e-05
98650,9.6742e-05
98900,9.6726e-05
99150,9.6709e-05
99400,9.6693e-05
99650,9.6676e-05
99900,9.666e-05
100150,9.6643e-05
100400,9.6626e-05
100650,9.661e-05
100900,9.6593e-05
101150,9.6576e-05
101400,9.6559e-05
101650,9.6542e-05
101900,9.6525e-05
102150,9.6509e-05
102400,9.6492e-05
102650,9.6475e-05
102900,9.6457e-05
103200,9.6437e-05
103450,9.642e-05
103700,9.6403e-05
103950,9.6385e-05
104200,9.6368e-05
104450,9.6351e-05
104700,9.6333e-05
104950,9.6316e-05
105200,9.6299e-05
105450,9.6281e-05
105700,9.6264e-05
105950,9.6246e-05
106200,9.6228e-05
106450,9.6211e-05
106700,9.6193e-05
106950,9.6175e-05
107200,9.6158e-05
107450,9.614e-05
107700,9.6122e-05
107950,9.6104e-05
108200,9.6086e-05
108450,9.6068e-05
108700,9.605e-05
109000,9.6029e-05
109250,9.6011e-05
109500,9.5992e-05
109750,9.5974e-05
110000,9.5956e-05
110250,9.5938e-05
110500,9.592e-05
110750,9.5901e-05
111000,9.5883e-05
111250,9.5865e-05
111500,9.5846e-05
111750,9.5828e-05
112000,9.5809e-05
112250,9.5791e-05
112500,9.5772e-05
112750,9.5753e-05
113000,9.5735e-05
113250,9.5716e-05
113500,9.5697e-05
113750,9.5679e-05
114000,9.566e-05
114250,9.5641e-05
114500,9.5622e-05
114800,9.5599e-05
115050,9.558e-05
115300,9.5561e-05
115550,9.5542e-05
115800,9.5523e-05
116050,9.5504e-05
116300,9.5485e-05
116550,9.5466e-05
116800,9.5446e-05
117050,9.5427e-05
117300,9.5408e-05
117550,9.5388e-05
117800,9.5369e-05
118050,9.5349e-05
118300,9.533e-05
118550,9.531e-05
118800,9.5291e-05
119050,9.5271e-05
119300,9.5252e-05
119550,9.5232e-05
119800,9.5212e-05
120050,9.5192e-05
120350,9.5169e-05
120600,9.5149e-05
120850,9.5129e-05
121100,9.5109e-05
121350,9.5089e-05
121600,9.5069e-05
121850,9.5049e-05
122100,9.5029e-05
122350,9.5009e-05
122600,9.4989e-05
122850,9.4968e-05
123100,9.4948e-05
123350,9.4928e-05
123600,9.4908e-05
123850,9.4887e-05
124100,9.4867e-05
124350,9.4847e-05
124600,9.4826e-05
124850,9.4806e-05
125100,9.4785e-05
125350,9.4764e-05
125600,9.4744e-05
125850,9.4723e-05
126150,9.4698e-05
126400,9.4678e-05
126650,9.4657e-05
126900,9.4636e-05
127150,9.4615e-05
127400,9.4594e-05
127650,9.4573e-05
127900,9.4552e-05
128150,9.4531e-05
128400,9.451e-05
128650,9.4489e-05
128900,9.4468e-05
129150,9.4447e-05
129400,9.4426e-05
129650,9.4405e-05
129900,9.4383e-05
130150,9.4362e-05
130400,9.4341e-05
130650,9.4319e-05
130900,9.4298e-05
131150,9.4276e-05
131400,9.4255e-05
131650,9.4233e-05
131950,9.4208e-05
132200,9.4186e-05
132450,9.4164e-05
132700,9.4143e-05
132950,9.4121e-05
133200,9.4099e-05
133450,9.4077e-05
133700,9.4055e-05
133950,9.4034e-05
134200,9.4012e-05
134450,9.399e-05
134700,9.3968e-05
134950,9.3946e-05
135200,9.3924e-05
135450,9.3901e-05
135700,9.3879e-05
135950,9.3857e-05
136200,9.3835e-05
136450,9.3813e-05
136700,9.379e-05
136950,9.3768e-05
137200,9.3746e-05
137500,9.3719e-05
137750,9.3696e-05
138000,9.3674e-05
138250,9.3651e-05
138500,9.3629e-05
138750,9.3606e-05
139000,9.3584e-05
139250,9.3561e-05
139500,9.3538e-05
139750,9.3515e-05
140000,9.3493e-05
140250,9.347e-05
140500,9.3447e-05
140750,9.3424e-05
141000,9.3401e-05
141250,9.3378e-05
141500,9.3355e-05
141750,9.3332e-05
142000,9.3309e-05
142250,9.3286e-05
142500,9.3263e-05
142750,9.324e-05
143000,9.3216e-05
143300,9.3188e-05
143550,9.3165e-05
143800,9.3142e-05
144050,9.3118e-05
144300,9.3095e-05
144550,9.3071e-05
144800,9.3048e-05
145050,9.3024e-05
145300,9.3001e-05
145550,9.2977e-05
145800,9.2954e-05
146050,9.293e-05
146300,9.2906e-05
146550,9.2882e-05
146800,9.2859e-05
147050,9.2835e-05
147300,9.2811e-05
147550,9.2787e-05
147800,9.2763e-05
148050,9.2739e-05
148300,9.2715e-05
148550,9.2691e-05
148800,9.2667e-05
149100,9.2638e-05
149350,9.2614e-05
149600,9.259e-05
149850,9.2565e-05
150100,9.2541e-05
150350,9.2517e-05
150600,9.2493e-05
150850,9.2468e-05
151100,9.2444e-05
151350,9.2419e-05
151600,9.2395e-05
151850,9.237e-05
152100,9.2346e-05
152350,9.2321e-05
152600,9.2296e-05
152850,9.2272e-05
153100,9.2247e-05
153350,9.2222e-05
153600,9.2198e-05
153850,9.2173e-05
154100,9.2148e-05
154350,9.2123e-05
154600,9.2098e-05
154900,9.2068e-05
155150,9.2043e-05
155400,9.2018e-05
155650,9.1993e-05
155900,9.1968e-05
156150,9.1943e-05
156400,9.1918e-05
156650,9.1892e-05
156900,9.1867e-05
157150,9.1842e-05
157400,9.1816e-05
157650,9.1791e-05
157900,9.1766e-05
158150,9.174e-05
158400,9.1715e-05
158650,9.1689e-05
158900,9.1664e-05
159150,9.1638e-05
159400,9.1613e-05
159650,9.1587e-05
159900,9.1561e-05
160150,9.1536e-05
160450,9.1505e-05
160700,9.1479e-05
160950,9.1453e-05
161200,9.1427e-05
161450,9.1401e-05
161700,9.1375e-05
161950,9.1349e-05
162200,9.1323e-05
162450,9.1297e-05
162700,9.1271e-05
162950,9.1245e-05
163200,9.1219e-05
163450,9.1193e-05
163700,9.1167e-05
163950,9.114e-05
164200,9.1114e-05
164450,9.1088e-05
164700,9.1061e-05
164950,9.1035e-05
165200,9.1009e-05
165450,9.0982e-05
165700,9.0956e-05
165950,9.0929e-05
166250,9.0897e-05
166500,9.0871e-05
166750,9.0844e-05
167000,9.0817e-05
167250,9.079e-05
167500,9.0764e-05
167750,9.0737e-05
168000,9.071e-05
168250,9.0683e-05
168500,9.0656e-05
168750,9.0629e-05
169000,9.0602e-05
169250,9.0575e-05
169500,9.0548e-05
169750,9.0521e-05
170000,9.0494e-05
170250,9.0467e-05
170500,9.044e-05
170750,9.0413e-05
171000,9.0386e-05
171250,9.0358e-05
171500,9.0331e-05
171750,9.0304e-05
172050,9.0271e-05
172300,9.0243e-05
172550,9.0216e-05
172800,9.0188e-05
173050,9.0161e-05
173300,9.0133e-05
173550,9.0106e-05
173800,9.0078e-05
174050,9.005e-05
174300,9.0023e-05
174550,8.9995e-05
174800,8.9967e-05
175050,8.994e-05
175300,8.9912e-05
175550,8.9884e-05
175800,8.9856e-05
176050,8.9828e-05
176300,8.98e-05
176550,8.9772e-05
176800,8.9744e-05
177050,8.9716e-05
177300,8.9688e-05
177600,8.9654e-05
177850,8.9626e-05
178100,8.9598e-05
178350,8.9569e-05
178600,8.9541e-05
178850,8.9513e-05
179100,8.9485e-05
179350,8.9456e-05
179600,8.9428e-05
179850,8.9399e-05
180100,8.9371e-05
180350,8.9342e-05
180600,8.9314e-05
180850,8.9285e-05
181100,8.9257e-05
181350,8.9228e-05
181600,8.9199e-05
181850,8.9171e-05
182100,8.9142e-05
182350,8.9113e-05
182600,8.9084e-05
182850,8.9055e-05
183100,8.9026e-05
183400,8.8992e-05
183650,8.8963e-05
183900,8.8934e-05
184150,8.8905e-05
184400,8.8876e-05
184650,8.8847e-05
184900,8.8818e-05
185150,8.8788e-05
185400,8.8759e-05
185650,8.873e-05
185900,8.8701e-05
186150,8.8671e-05
186400,8.8642e-05
186650,8.8613e-05
186900,8.8583e-05
187150,8.8554e-05
187400,8.8524e-05
187650,8.8495e-05
187900,8.8465e-05
188150,8.8436e-05
188400,8.8406e-05
188650,8.8377e-05
188900,8.8347e-05
189200,8.8311e-05
189450,8.8282e-05
189700,8.8252e-05
189950,8.8222e-05
190200,8.8192e-05
190450,8.8163e-05
190700,8.8133e-05
190950,8.8103e-05
191200,8.8073e-05
191450,8.8043e-05
191700,8.8013e-05
191950,8.7983e-05
192200,8.7953e-05
192450,8.7923e-05
192700,8.7892e-05
192950,8.7862e-05
193200,8.7832e-05
193450,8.7802e-05
193700,8.7772e-05
193950,8.7741e-05
194200,8.7711e-05
194450,8.768e-05
194750,8.7644e-05
195000,8.7614e-05
195250,8.7583e-05
195500,8.7553e-05
195750,8.7522e-05
196000,8.7491e-05
196250,8.7461e-05
196500,8.743e-05
196750,8.74e-05
197000,8.7369e-05
197250,8.7338e-05
197500,8.7307e-05
197750,8.7277e-05
198000,8.7246e-05
198250,8.7215e-05
198500,8.7184e-05
198750,8.7153e-05
199000,8.7122e-05
199250,8.7091e-05
199500,8.706e-05
199750,8.7029e-05
200000,8.6998e-05
200250,8.6967e-05
200550,8.693e-05
200800,8.6898e-05
201050,8.6867e-05
201300,8.6836e-05
201550,8.6805e-05
201800,8.6773e-05
202050,8.6742e-05
202300,8.6711e-05
202550,8.6679e-05
202800,8.6648e-05
203050,8.6616e-05
203300,8.6585e-05
203550,8.6553e-05
203800,8.6522e-05
204050,8.649e-05
204300,8.6459e-05
204550,8.6427e-05
204800,8.6395e-05
205050,8.6364e-05
205300,8.6332e-05
205550,8.63e-05
205800,8.6268e-05
206050,8.6236e-05
206350,8.6198e-05
206600,8.6166e-05
206850,8.6134e-05
207100,8.6102e-05
207350,8.607e-05
207600,8.6038e-05
207850,8.6006e-05
208100,8.5974e-05
208350,8.5942e-05
208600,8.591e-05
208850,8.5878e-05
209100,8.5845e-05
209350,8.5813e-05
209600,8.5781e-05
209850,8.5749e-05
210100,8.5716e-05
210350,8.5684e-05
210600,8.5652e-05
210850,8.5619e-05
211100,8.5587e-05
211350,8.5554e-05
211600,8.5522e-05
211850,8.5489e-05
212150,8.545e-05
212400,8.5417e-05
212650,8.5385e-05
212900,8.5352e-05
213150,8.5319e-05
213400,8.5287e-05
213650,8.5254e-05
213900,8.5221e-05
214150,8.5188e-05
214400,8.5155e-05
214650,8.5122e-05
214900,8.509e-05
215150,8.5057e-05
215400,8.5024e-05
215650,8.4991e-05
215900,8.4958e-05
216150,8.4925e-05
216400,8.4891e-05
216650,8.4858e-05
216900,8.4825e-05
217150,8.4792e-05
217400,8.4759e-05
217700,8.4719e-05
217950,8.4686e-05
218200,8.4652e-05
218450,8.4619e-05
218700,8.4586e-05
218950,8.4552e-05
219200,8.4519e-05
219450,8.4485e-05
219700,8.4452e-05
219950,8.4418e-05
220200,8.4385e-05
220450,8.4351e-05
220700,8.4318e-05
220950,8.4284e-05
221200,8.425e-05
221450,8.4217e-05
221700,8.4183e-05
221950,8.4149e-05
222200,8.4115e-05
222450,8.4082e-05
222700,8.4048e-05
222950,8.4014e-05
223200,8.398e-05
223500,8.3939e-05
223750,8.3905e-05
224000,8.3871e-05
224250,8.3837e-05
224500,8.3803e-05
224750,8.3769e-05
225000,8.3735e-05
225250,8.3701e-05
225500,8.3667e-05
225750,8.3632e-05
226000,8.3598e-05
226250,8.3564e-05
226500,8.353e-05
226750,8.3495e-05
227000,8.3461e-05
227250,8.3427e-05
227500,8.3392e-05
227750,8.3358e-05
228000,8.3323e-05
228250,8.3289e-05
228500,8.3254e-05
228750,8.322e-05
229000,8.3185e-05
229300,8.3144e-05
229550,8.3109e-05
229800,8.3075e-05
230050,8.304e-05
230300,8.3005e-05
230550,8.297e-05
230800,8.2936e-05
231050,8.2901e-05
231300,8.2866e-05
231550,8.2831e-05
231800,8.2796e-05
232050,8.2761e-05
232300,8.2727e-05
232550,8.2692e-05
232800,8.2657e-05
233050,8.2622e-05
233300,8.2586e-05
233550,8.2551e-05
233800,8.2516e-05
234050,8.2481e-05
234300,8.2446e-05
234550,8.2411e-05
234850,8.2369e-05
235100,8.2333e-05
235350,8.2298e-05
235600,8.2263e-05
235850,8.2227e-05
236100,8.2192e-05
236350,8.2157e-05
236600,8.2121e-05
236850,8.2086e-05
237100,8.205e-05
237350,8.2015e-05
237600,8.1979e-05
237850,8.1944e-05
238100,8.1908e-05
238350,8.1873e-05
238600,8.1837e-05
238850,8.1801e-05
239100,8.1766e-05
239350,8.173e-05
239600,8.1694e-05
239850,8.1658e-05
240100,8.1623e-05
240350,8.1587e-05
240650,8.1544e-05
240900,8.1508e-05
241150,8.1472e-05
241400,8.1436e-05
241650,8.14e-05
241900,8.1364e-05
242150,8.1328e-05
242400,8.1292e-05
242650,8.1256e-05
242900,8.122e-05
243150,8.1184e-05
243400,8.1148e-05
243650,8.1111e-05
243900,8.1075e-05
244150,8.1039e-05
244400,8.1003e-05
244650,8.0966e-05
244900,8.093e-05
245150,8.0894e-05
245400,8.0857e-05
245650,8.0821e-05
245900,8.0785e-05
246150,8.0748e-05
246450,8.0704e-05
246700,8.0668e-05
246950,8.0631e-05
247200,8.0595e-05
247450,8.0558e-05
247700,8.0522e-05
247950,8.0485e-05
248200,8.0448e-05
248450,8.0412e-05
248700,8.0375e-05
248950,8.0338e-05
249200,8.0302e-05
249450,8.0265e-05
249700,8.0228e-05
249950,8.0191e-05
250200,8.0154e-05
250450,8.0117e-05
250700,8.008e-05
250950,8.0044e-05
251200,8.0007e-05
251450,7.997e-05
251700,7.9933e-05
252000,7.9888e-05
