scene,n_cells,n_cells_valid_gt,n_cells_with_return,n_cells_had_ground,n_cells_err_valid,alpha_metres,rmse_m,mae_m,bias_m,p95_abs_err_m,frac_within_20cm,frac_within_50cm,rmse_ground_m,rmse_nonground_m,n_err_ground,n_err_nonground,n_cells_cls_valid,n_gt_ground,n_gt_non_ground,n_fp,n_fn,e_t1_pct,e_t2_pct,e_tot_pct,e_t1_pct_logit,e_t2_pct_logit,e_tot_pct_logit
NU0741sw_P_12498_20220119_20220119,1000000,999998,999697,976199,976197,0.20000000298023224,0.02416147291660309,0.018709145486354828,0.016728341579437256,0.04131317138671875,0.9995687345894323,1.0,0.021969057619571686,0.08240421116352081,960545,15652,999695,967008,32687,3356,574,10.267078655122832,0.05935835070650915,0.39311990156997884,10.294612537094258,0.06969952678778252,0.4040232270842607
NU0742ne_P_12498_20220119_20220119,1000000,1000000,999270,970627,970627,0.20000000298023224,0.020938795059919357,0.015833275392651558,0.01253090612590313,0.036952972412109375,0.9998300067894258,1.0,0.019707299768924713,0.052281323820352554,949908,20719,999270,961566,37704,3912,2832,10.37555697008275,0.29451956495965953,0.6748926716503048,8.82399745385105,0.5896631120484709,0.9003572608003843
NU0742nw_P_12498_20220119_20220119,1000000,999594,999447,982066,982064,0.20000000298023224,0.01826648600399494,0.01263461820781231,0.009071850217878819,0.029999732971191406,0.9995041056387364,0.9999816712556412,0.016559774056077003,0.07032691687345505,969569,12495,999041,974632,24409,1778,2336,7.28419845139088,0.23968020750396046,0.4117949113199558,9.500594043180794,0.2982664226087385,0.5231016544866527
NU0742se_P_12498_20220119_20220119,1000000,999999,999425,985786,985785,0.20000000298023224,0.015314729884266853,0.009837925434112549,0.005873087327927351,0.02472066879272461,0.9996337943872142,0.9999949279000999,0.013940232805907726,0.07352021336555481,978178,7607,999424,983983,15441,2787,1346,18.04934913541869,0.13679098114499946,0.41353819800204916,16.009325820866525,0.2046783328573766,0.4488585425204918
NU0742sw_P_12498_20220119_20220119,1000000,999966,997161,978543,978539,0.20000000298023224,0.026543796062469482,0.014439824037253857,0.007249828893691301,0.03846175596117973,0.9974073593387693,0.9998886094473496,0.018768155947327614,0.10492230951786041,946186,32353,997127,950683,46444,2695,3936,5.802687107053656,0.414018132227041,0.6650105753830756,13.678839031952458,0.1560982998538945,0.7859580574991952
NU0743ne_P_12498_20220119_20220119,1000000,999999,979440,866192,866191,0.20000000298023224,0.04406953975558281,0.029271915555000305,-0.023500632494688034,0.08753299713134766,0.9948579470347764,1.0,0.041845787316560745,0.06436417996883392,796997,69194,979439,875957,103482,5702,49834,5.5101370286619895,5.689092044472503,5.67018466693689,9.042152258363773,30.432886545800763,28.172862220107632
NU0743nw_P_12498_20220119_20220119,1000000,999998,995594,952401,952399,0.20000000298023224,0.018902264535427094,0.011627723462879658,-0.0013566607376560569,0.03472089767456055,0.999341662475496,1.0,0.018105175346136093,0.04394078254699707,934873,17526,995592,962110,33482,6925,5126,20.682754913087628,0.5327873112222096,1.2104356001253525,54.193297891404335,0.5254076976645082,2.3302718382630636
NU0743se_P_12498_20220119_20220119,1000000,999999,995155,942155,942154,0.20000000298023224,0.022623060271143913,0.01590481773018837,0.008069594390690327,0.041699014604091644,0.999472485389862,0.9999745264574581,0.02090088464319706,0.04593979939818382,899958,42196,995154,934292,60862,13785,6005,22.649600736091486,0.642732678862711,1.9886369345849988,25.99815977128586,6.548488052985577,7.737998339955424
NU0743sw_P_12498_20220119_20220119,1000000,999998,989832,943511,943510,0.20000000298023224,0.02714879810810089,0.0174116138368845,0.006438945885747671,0.05228675529360771,0.9989952411739145,0.9999597248571822,0.021397767588496208,0.055042341351509094,841083,102427,989830,855275,134555,4044,3970,3.005462450299134,0.46417818830200813,0.8096339775517007,2.2429489799710156,1.1855835842272953,1.3293191760201246
NU0744ne_P_12498_20220119_20220119,618000,337102,302862,268231,268220,0.20000000298023224,0.0556037575006485,0.04900375381112099,-0.048687949776649475,0.09335048496723175,1.0,1.0,0.05560443922877312,0.028726715594530106,268211,9,302851,302828,23,10,320,43.47826086956522,0.10567054565628013,0.10896447427943114,0.0,72.41338317460736,72.40788374481181
NU0744nw_P_12498_20220119_20220119,1000000,1000000,997744,922455,922455,0.20000000298023224,0.042253073304891586,0.02953287959098816,-0.018826615065336227,0.08829321712255478,0.9986427522209755,0.9999262836669539,0.040942613035440445,0.05707072839140892,858834,63621,997744,893622,104122,8800,27639,8.451624056395382,3.0929184823113127,3.6521392260940684,15.04100958491001,34.23349022293542,32.230612261261406
NU0744se_P_12498_20220119_20220119,1000000,865255,803173,688777,688716,0.20000000298023224,0.04621793329715729,0.03634129837155342,-0.03491954877972603,0.08455610275268555,0.9983549097160513,1.0,0.04625270888209343,0.03097652830183506,686839,1877,803102,793239,9863,1271,9971,12.886545675757883,1.2569982060892115,1.3998221894603675,2.240697556524384,40.74307995446517,40.27022719405505
NU0744sw_P_12498_20220119_20220119,1000000,999997,997347,953593,953591,0.20000000298023224,0.020320964977145195,0.011667970567941666,0.001452593831345439,0.03320777416229248,0.9988873636601017,0.999988464656231,0.0178874172270298,0.05810479447245598,924579,29012,997345,942084,55261,7229,5911,13.08155842275746,0.6274387421928406,1.3174979570760368,20.5262300718409,1.6147180081606312,2.6625691210162983
NU0745se_P_12498_20220119_20220119,6042,3019,2812,2812,2781,0.20000000298023224,0.03601257875561714,0.034668222069740295,-0.034668222069740295,0.05139589309692383,1.0,1.0,0.03601257875561714,nan,2781,0,2781,2781,0,0,0,0.0,0.0,0.0,0.0,99.82020855807264,99.82020855807264
NU0745sw_P_12498_20220119_20220119,809000,652155,547199,545531,545413,0.20000000298023224,0.020996015518903732,0.014837890863418579,-0.014179110527038574,0.04505467414855957,1.0,1.0,0.020996110513806343,0.01944633573293686,545378,35,547079,547044,35,3,20,8.571428571428571,0.003656013044654543,0.0042041460191306924,0.0,34.46103055695703,34.458825873411335
NU0840ne_P_12498_20220119_20220119,476,227,237,232,213,0.20000000298023224,0.06404697895050049,0.05640559643507004,-0.05623900145292282,0.11418380588293076,1.0,1.0,0.06404697895050049,nan,213,0,218,218,0,0,2,0.0,0.9174311926605505,0.9174311926605505,0.0,94.95412844036697,94.95412844036697
NU0840nw_P_12498_20220119_20220119,861000,530845,491442,475285,475159,0.20000000298023224,0.037544772028923035,0.017416706308722496,0.011368230916559696,0.046233274042606354,0.99747452957852,0.9992339406388178,0.03191728517413139,0.10170930624008179,455243,19916,491310,459538,31772,1943,1493,6.115447563892736,0.3248915214846215,0.6993547861838758,5.470225355659071,0.5255278127162498,0.8452911603671817
NU0841ne_P_12498_20220119_20220119,1000000,882145,814514,663052,663016,0.20000000298023224,0.04040834680199623,0.031003620475530624,-0.02879648655653,0.08023601770401001,0.9995626048240163,1.0,0.04293929412961006,0.029547201469540596,518939,144077,814445,636088,178357,1266,68032,0.7098123426610674,10.695375482637623,8.508616296987519,0.005046059308017067,35.33882104362918,27.60100436493563
NU0841nw_P_12498_20220119_20220119,1000000,999994,991109,858885,858884,0.20000000298023224,0.05341147258877754,0.02682061493396759,-0.016162846237421036,0.09375759214162827,0.9832806292817191,0.9997636467788432,0.05429203808307648,0.0477689653635025,736531,122353,991103,784352,206751,9460,49947,4.575552234330185,6.367931744930847,5.9940288748999855,4.852213532219917,16.37045612174126,13.967670363221583
NU0841se_P_12498_20220119_20220119,673000,454324,420862,327621,327228,0.20000000298023224,0.06280966103076935,0.04622868448495865,-0.04357733204960823,0.1404607743024826,0.9841731147701297,0.9999938880535896,0.06757928431034088,0.03694423660635948,263674,63554,420428,323957,96471,1456,80245,1.509261850711613,24.77026272005235,19.432816082658626,0.08396305625524769,55.457668764681735,42.75167210556861
NU0841sw_P_12498_20220119_20220119,1000000,985495,947034,896447,896444,0.20000000298023224,0.02662890963256359,0.017577391117811203,6.989612302277237e-05,0.05394836515188217,0.9992202524641807,0.9999687654778212,0.024911481887102127,0.06581801176071167,875064,21380,947017,912775,34242,5134,3625,14.99328310262251,0.3971405877680699,0.9249041991854423,18.93873021435664,12.626112678370902,12.854362698874466
NU0842ne_P_12498_20220119_20220119,17848,9150,5083,3758,3741,0.20000000298023224,0.0920214056968689,0.08530804514884949,-0.08528696745634079,0.14275097846984863,0.9986634589681903,1.0,0.0920214056968689,nan,3741,0,5056,5041,15,0,261,0.0,5.1775441380678435,5.162183544303797,0.0,94.44554651854791,94.16534810126582
NU0842nw_P_12498_20220119_20220119,1000000,823919,671535,569972,569959,0.20000000298023224,0.03836242854595184,0.02961890399456024,-0.025768309831619263,0.0755772590637207,0.9998438484171669,1.0,0.03895198181271553,0.028728775680065155,532412,37547,671513,616254,55259,1667,26490,3.0167031614759585,4.298552220350699,4.193068488621963,2.332651694746557,36.94450664823271,34.09628704135289
NU0842se_P_12498_20220119_20220119,632000,366822,289456,219107,219093,0.20000000298023224,0.05014227703213692,0.04155291989445686,-0.04082693159580231,0.0931251049041748,0.9999863071846202,1.0,0.050208646804094315,0.03312522917985916,218068,1025,289438,287564,1874,58,3175,3.0949839914621133,1.1041020433712148,1.1169922401343293,0.0,46.2192764045569,45.920024322998366
NU0842sw_P_12498_20220119_20220119,1000000,999979,958565,804616,804616,0.20000000298023224,0.037735629826784134,0.023952510207891464,-0.016436364501714706,0.06712549924850464,0.9955606152500075,0.9999937858556132,0.03848329931497574,0.0349939800798893,625775,178841,958550,700030,258520,8025,63193,3.1042085718706485,9.027184549233604,7.429763705596995,2.1008045799164474,24.225676042455323,18.258619790308277
NU0843nw_P_12498_20220119_20220119,642000,384327,336039,267556,267533,0.20000000298023224,0.058997057378292084,0.05184716731309891,-0.05145050957798958,0.09918985515832901,0.9999962621433618,1.0,0.05899874493479729,0.026086531579494476,267514,19,335991,335741,250,46,2407,18.4,0.7169216747433289,0.7300790794991533,0.0,75.77150243789112,75.71512332175564
NU0843sw_P_12498_20220119_20220119,708000,638458,346481,299962,299944,0.20000000298023224,0.04565485194325447,0.03402938321232796,-0.023826884105801582,0.08840121328830719,0.9995565838956605,0.9998699757288028,0.04540831968188286,0.07938725501298904,298356,1588,346454,342158,4296,1055,1763,24.557728119180634,0.5152590323768551,0.8133835949361242,23.021415270018622,38.89226614604949,38.69546895114503
NU0844sw_P_12498_20220119_20220119,32480,16784,11308,8579,8553,0.20000000298023224,0.11973444372415543,0.11466356366872787,-0.11466188728809357,0.1700119972229004,0.9959078685841225,1.0,0.11974135786294937,0.013051509857177734,8552,1,11262,11248,14,0,1840,0.0,16.35846372688478,16.338128218788846,0.0,99.35988620199147,99.23637009412182
NU0941nw_P_12498_20220119_20220119,61054,31071,21110,15487,15472,0.20000000298023224,0.07182434946298599,0.06210453435778618,-0.061922311782836914,0.1280485987663269,0.9980610134436402,1.0,0.07182300090789795,0.09029269218444824,15471,1,21078,20927,151,4,929,2.6490066225165565,4.439241171692072,4.426416168516937,0.0,49.63444354183591,49.27886896289971
NU0941sw_P_12498_20220119_20220119,54450,37034,26832,19968,19855,0.20000000298023224,0.06560073792934418,0.05540608987212181,-0.05510907992720604,0.12123534828424454,0.9986905061697305,1.0,0.0656018927693367,0.03621649742126465,19854,1,26700,26552,148,7,968,4.72972972972973,3.645676408556794,3.651685393258427,0.0,46.135884302500756,45.88014981273408
NX9212_P_12706_20220902_20220902,360702,192985,11780,10968,10960,0.20000000298023224,0.022364836186170578,0.007800575811415911,-0.0027631870470941067,0.02522289752960205,0.9987226277372263,0.9997262773722628,0.022364836186170578,nan,10960,0,11760,11744,16,1,27,6.25,0.22990463215258855,0.23809523809523808,12.5,0.7493188010899182,0.7653061224489796
NX9212_P_12707_20220901_20220901,1532692,1298923,323238,288498,288349,0.20000000298023224,0.03014475479722023,0.019841574132442474,-0.01900443248450756,0.06585216522216797,0.9999132995085817,1.0,0.030140470713377,0.19530344009399414,288347,2,323051,322920,131,61,244,46.56488549618321,0.07556051034311904,0.09441233737087952,11.450381679389313,3.674284652545522,3.677437927757537
NX9214_P_12706_20220902_20220902,1759914,1247599,263311,186801,186776,0.20000000298023224,1.8781455755233765,0.3081624209880829,-0.30256736278533936,0.9600272178649902,0.9202734826744335,0.9414111020687883,1.7580194473266602,4.659693717956543,182395,4381,263276,191638,71638,4282,13536,5.977274630782546,7.06331729615212,6.767802610188547,11.063960467908094,4.197497364823261,6.065877634117808
NX9214_P_12707_20220901_20220901,1498746,915775,146363,76831,76827,0.20000000298023224,2.1332573890686035,0.5666273236274719,-0.5540832877159119,3.8303942680358887,0.826766631522772,0.8722324182904447,1.9306273460388184,4.806028842926025,73561,3266,146340,88057,58283,5662,12345,9.714668085033372,14.01932838956585,12.304906382397157,17.0958941715423,8.181064537742598,11.731583982506491
NX9408_P_12706_20220902_20220902,578,76,17,5,1,0.20000000298023224,0.02063775062561035,0.02063775062561035,-0.02063775062561035,0.02063775062561035,1.0,1.0,0.02063775062561035,nan,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NX9410_P_12706_20220902_20220902,9486504,5165747,1569646,1351138,1351131,0.20000000298023224,0.1328895539045334,0.02977127954363823,-0.020782163366675377,0.07950592041015625,0.9800759511846001,0.9909712677749234,0.12078230082988739,0.6115245819091797,1339584,11547,1569623,1449629,119994,21984,28293,18.32091604580229,1.9517407557381923,3.2031258461426724,20.047669050119172,1.7526553345718112,3.151266259477594
NX9412_P_12706_20220902_20220902,16000000,13291829,5642102,4908620,4908588,0.20000000298023224,1.3630428314208984,0.23531757295131683,-0.218370258808136,1.0083744525909424,0.9108617386507077,0.9342024631115914,1.2496461868286133,6.6576361656188965,4874580,34008,5642053,5078096,563957,81271,467068,14.410850472642418,9.197699295168897,9.71878498837214,19.05233909677511,4.384202267936644,5.850370423673794
NX9412_P_12707_20220901_20220901,7110708,4820663,1152750,1002050,1001941,0.20000000298023224,3.254218816757202,0.7646462321281433,-0.7548065781593323,5.276313781738281,0.8568428679932252,0.8837326748780617,3.114262819290161,11.884461402893066,995152,6789,1152618,1039258,113360,9875,143531,8.711185603387438,13.810911246293028,13.309353142151172,10.162314749470713,7.60340550662107,7.855074274390995
NX9414_P_12706_20220902_20220902,7009220,5579627,1847901,1646923,1646910,0.20000000298023224,1.203829288482666,0.5010906457901001,-0.49187129735946655,3.043491840362549,0.722261082876417,0.7850835807664049,1.1939128637313843,2.4330379962921143,1638197,8713,1847864,1686326,161538,27339,472899,16.92419121197489,28.04315417066451,27.071148093149713,18.545481558518738,15.53519307654629,15.798348796231757
NX9414_P_12707_20220901_20220901,16000000,15746307,6069571,4940561,4940545,0.20000000298023224,0.40842393040657043,0.10324597358703613,-0.08915838599205017,0.499847412109375,0.9210528393122621,0.95000996853586,0.39316049218177795,0.9699256420135498,4863658,76887,6069501,5232694,836807,157173,392049,18.782467163874106,7.492297466658665,9.048882272199972,22.913527252998602,5.148705427835069,7.597955746279636
NX9416_P_12707_20220901_20220901,14840000,8977713,1270970,1114626,1114618,0.20000000298023224,0.14605344831943512,0.024563312530517578,-0.023252490907907486,0.0679561123251915,0.996615880956525,0.9981060775978855,0.12587213516235352,1.7967898845672607,1112714,1904,1270934,1247263,23671,3396,4885,14.346668919775253,0.39165757342276647,0.6515680593956885,13.260952220016053,4.792573819635474,4.950296396193665
NX9418_P_12707_20220901_20220901,2928240,1588094,238903,205383,205377,0.20000000298023224,0.035963572561740875,0.024682138115167618,-0.02374715730547905,0.07801689952611923,0.9998003671297175,1.0,0.035963572561740875,nan,205377,0,238869,238700,169,71,287,42.01183431952663,0.12023460410557185,0.14987294291013065,0.591715976331361,7.218684541265186,7.213995955942378
NX9606_P_12706_20220902_20220902,3638340,1903445,339780,300082,300078,0.20000000298023224,0.031971320509910583,0.016817227005958557,-0.014938928186893463,0.06345997750759125,0.9969507927938736,0.9999866701324323,0.031971048563718796,0.04807184636592865,300074,4,339751,338970,781,433,1688,55.441741357234314,0.49797917219812965,0.6242807232355461,16.389244558258643,2.001947074962386,2.035019764474571
NX9608_P_12706_20220902_20220902,15996000,11294870,4127041,3553932,3553920,0.20000000298023224,0.03376901149749756,0.015103296376764774,-0.007932188920676708,0.04921367019414902,0.996292825949937,0.999442868719611,0.03146327659487724,0.20948390662670135,3541458,12462,4126982,3994032,132950,27090,19053,20.376081233546447,0.47703673881431097,1.1180809608571105,30.831139526137644,0.7978904525552124,1.7654062944786286
NX9610_P_12706_20220902_20220902,16000000,13337867,5729174,4871095,4871078,0.20000000298023224,0.22230716049671173,0.04073062911629677,-0.028544683009386063,0.07880225032567978,0.9750882658828293,0.987376921494585,0.2213931381702423,0.28918442130088806,4814003,57075,5729143,5103227,625916,53569,123083,8.558496667284428,2.411866060435877,3.083393100852955,10.84937914991788,1.3930401293142554,2.4261569313246327
NX9612_P_12706_20220902_20220902,7465386,3765141,1572003,1188694,1188679,0.20000000298023224,0.053511735051870346,0.020073723047971725,-0.005841131322085857,0.05170440673828125,0.9906072202840296,0.9979540313238477,0.047440774738788605,0.13288290798664093,1141395,47284,1571964,1195697,376267,9581,12185,2.546330132592016,1.0190708850151835,1.3846373072156868,3.00983078505423,0.7915885044455242,1.3225493713596495
NX9612_P_12707_20220901_20220901,76139,33729,13310,9940,9824,0.20000000298023224,0.07756536453962326,0.023536846041679382,-0.009397606365382671,0.05297813564538956,0.9822882736156352,0.9919584690553745,0.05448942631483078,0.43200576305389404,9661,163,11791,10063,1728,55,85,3.1828703703703702,0.8446785252906688,1.1873462810618267,3.009259259259259,0.9142402861969592,1.221270460520736
NX9614_P_12707_20220901_20220901,8708000,6915818,2917895,2317209,2317134,0.20000000298023224,0.06550280749797821,0.02127777226269245,-0.009557852521538734,0.07024383544921875,0.9844290403576141,0.9976302622118531,0.05464571714401245,0.297964483499527,2281904,35230,2917701,2479395,438306,42467,41428,9.68889314770959,1.6708914876411383,2.875380307989064,10.725155484980812,1.0686477951274405,2.5192780206059497
NX9616_P_12707_20220901_20220901,16000000,15052243,6159405,3509445,3509437,0.20000000298023224,0.2074519544839859,0.04516741633415222,-0.03084525279700756,0.15451796352863312,0.9618206567036252,0.9868865005982441,0.18609216809272766,0.45085540413856506,3334506,174931,6159367,3744457,2414910,167616,143315,6.940879784339789,3.82739072714682,5.048099910266753,8.06266072027529,3.1584285785629267,5.081236432250262
NX9618_P_12707_20220901_20220901,16000000,15980853,5610340,3870865,3870856,0.20000000298023224,0.22569707036018372,0.04069792106747627,-0.030812542885541916,0.09924644231796265,0.9759848984307347,0.9904537910994364,0.20915620028972626,0.551049530506134,3763732,107124,5610312,4148551,1461761,73746,85936,5.045010778095735,2.0714702555181317,2.846223169050135,6.47226188138827,3.8452221028498865,4.529694605219817
NX9620_P_12707_20220901_20220901,15644000,14240404,3800668,3131843,3131834,0.20000000298023224,0.08389711380004883,0.025618525221943855,-0.02070634439587593,0.08017922937870026,0.9910081441098091,0.9972083450144548,0.0798894539475441,0.3221178948879242,3110723,21111,3800644,3543642,257002,38330,35997,14.914280822717332,1.0158193180913873,1.9556422543126901,17.168737986474813,4.791511106370226,5.628467175562879
NX9622_P_12707_20220901_20220901,12504000,10705230,2248200,1823721,1823713,0.20000000298023224,0.07168558984994888,0.029384136199951172,-0.025689747184515,0.09140925109386444,0.9869601192731532,0.9958003260381431,0.06877850741147995,0.3429747223854065,1817117,6596,2248181,2130811,117370,25130,33190,21.410922723012696,1.5576228956955827,2.5940971834563142,25.077106586010053,5.3148308320165425,6.346553057783159
NX9624_P_12707_20220901_20220901,8860000,7170453,1477711,1335591,1335581,0.20000000298023224,0.028363289311528206,0.016037717461586,-0.013990587554872036,0.05910515785217285,0.9989337973511153,0.999950583304195,0.028348613530397415,0.09539064019918442,1335447,134,1477680,1475825,1855,831,3008,44.79784366576819,0.20381820337777176,0.2597991446050566,15.95687331536388,2.6402181830501585,2.6569351957121974
NX9626_P_12707_20220901_20220901,5264000,3811505,794165,701493,701482,0.20000000298023224,0.03370622545480728,0.021189209073781967,-0.020086441189050674,0.07323688268661499,0.9990605603565024,1.0,0.03370622545480728,nan,701482,0,794129,792434,1695,860,2081,50.73746312684366,0.2626086210334236,0.3703428536169816,7.846607669616519,4.205018966879261,4.212791624534553
NX9628_P_12707_20220901_20220901,5168000,3196996,546300,462625,462619,0.20000000298023224,0.02661709487438202,0.014684474095702171,-0.011422551237046719,0.05443446710705757,0.9988176015252291,1.0,0.02660880982875824,0.029116740450263023,461159,1460,546256,538350,7906,2392,2217,30.25550215026562,0.4118138757314015,0.8437435927477227,48.17859853275993,1.5801987554564874,2.254620544213702
NX9630_P_12707_20220901_20220901,100280,58344,1930,1154,1148,0.20000000298023224,0.06952179968357086,0.04636454954743385,-0.03371907398104668,0.15225662291049957,0.9782229965156795,1.0,0.06952179968357086,nan,1148,0,1899,1755,144,64,57,44.44444444444444,3.247863247863248,6.371774618220116,12.5,11.68091168091168,11.743022643496577
NX9802_P_12706_20220902_20220902,334505,211574,12129,9012,9006,0.20000000298023224,0.04254954680800438,0.02817440778017044,-0.024244293570518494,0.0930403470993042,0.9985565178769709,1.0,0.04254954680800438,nan,9006,0,12111,11957,154,90,67,58.44155844155844,0.5603412227147277,1.2963421682767733,14.285714285714286,7.644057874048674,7.728511270745603
NX9804_P_12706_20220902_20220902,11744000,7035123,1773758,1578070,1578056,0.20000000298023224,0.02632261998951435,0.015146179124712944,-0.012620814144611359,0.05446279048919678,0.9991660625478437,0.9999410667302048,0.02631962113082409,0.03663405403494835,1577672,384,1773723,1770141,3582,1492,2807,41.65270798436627,0.15857493838061487,0.24237155407016767,26.633165829145728,1.7890665206895948,1.8392387086371436
